dataset,case_name,condition,role,qualitative
khanhha,CRACK500_20160328_154321_1281_1.jpg,noisy1,hash_sample,False
khanhha,CRACK500_20160328_154321_1281_1.jpg,noisy2,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A2865_874_516_2613_2236.jpg,original,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A2865_874_516_2613_2236.jpg,noisy1,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A2865_874_516_2613_2236.jpg,noisy2,hash_sample,False
khanhha,CRACK500_20160316_142009_1281_721.jpg,original,hash_sample,False
khanhha,CRACK500_20160316_142009_1281_721.jpg,noisy1,hash_sample,False
khanhha,CRACK500_20160316_142009_1281_721.jpg,noisy2,hash_sample,False
khanhha,CRACK500_20160328_154454_721_1.jpg,original,hash_sample,False
khanhha,CRACK500_20160328_154454_721_1.jpg,noisy1,hash_sample,False
khanhha,CRACK500_20160328_154454_721_1.jpg,noisy2,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A3096_899_155_2326_2742.jpg,original,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A3096_899_155_2326_2742.jpg,noisy1,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A3096_899_155_2326_2742.jpg,noisy2,hash_sample,False
khanhha,noncrack_noncrack_concrete_wall_83_4.jpg.jpg,original,hash_sample,False
khanhha,noncrack_noncrack_concrete_wall_83_4.jpg.jpg,noisy1,hash_sample,False
khanhha,noncrack_noncrack_concrete_wall_83_4.jpg.jpg,noisy2,hash_sample,False
road420,2023_11_01_20_33_IMG_6353.jpg,original,gain_frangi_ombre,True
road420,2023_10_30_16_44_IMG_6033.jpg,original,perte_frangi,True
road420,2023_11_05_21_38_IMG_6516.jpg,original,deux_bons,True
facade390,DJ_Wall_66.JPG,original,gain_frangi,True
facade390,DJ_Wall_231.JPG,original,perte_frangi,True
facade390,DJ_Wall_343.JPG,original,deux_faibles,True
