dataset,category,category_label,case_name,baseline_iou_csv,frangi_iou_csv,delta_iou,target_pixels_at_selection,panel,generated,baseline_prediction,frangi_prediction,prompt_source,target_pixels,baseline_prediction_pixels,frangi_prediction_pixels
khanhha_noisy2,median,Cas médian,CRACK500_20160328_154318_641_1.jpg,0.7403456265688357,0.7379617579337271,-0.0023838686351086436,17089,figures/cases/khanhha_noisy2/median__CRACK500_20160328_154318_641_1.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy2/predictions/CRACK500_20160328_154318_641_1.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy2/predictions/CRACK500_20160328_154318_641_1.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/CRACK500_20160328_154318_641_1.jpg.npy,17089,18964,17632
khanhha_noisy2,sparse_divergent,GT vide/clairsemée divergente,noncrack_noncrack_concrete_wall_28_0.jpg.jpg,0.0,1.0,1.0,0,figures/cases/khanhha_noisy2/sparse_divergent__noncrack_noncrack_concrete_wall_28_0.jpg.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy2/predictions/noncrack_noncrack_concrete_wall_28_0.jpg.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy2/predictions/noncrack_noncrack_concrete_wall_28_0.jpg.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/noncrack_noncrack_concrete_wall_28_0.jpg.jpg.npy,0,3382,0
road420,gain_frangi,Gain Frangi maximal,2023_11_01_20_33_IMG_6353.jpg,0.1897716894977169,0.6851535836177475,0.4953818941200306,5310,figures/cases/road420/gain_frangi__2023_11_01_20_33_IMG_6353.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/road420/predictions/2023_11_01_20_33_IMG_6353.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/road420/predictions/2023_11_01_20_33_IMG_6353.png,/home/codespace/cracksam2-prompts/road420/test_original/2023_11_01_20_33_IMG_6353.jpg.npy,5310,1204,4565
road420,gain_baseline,Gain baseline maximal,2023_10_30_16_44_IMG_6033.jpg,0.720286781783298,0.040016250253910216,-0.6802705315293878,9845,figures/cases/road420/gain_baseline__2023_10_30_16_44_IMG_6033.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/road420/predictions/2023_10_30_16_44_IMG_6033.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/road420/predictions/2023_10_30_16_44_IMG_6033.png,/home/codespace/cracksam2-prompts/road420/test_original/2023_10_30_16_44_IMG_6033.jpg.npy,9845,7191,395
road420,both_good,Les deux bons,2023_11_05_21_38_IMG_6516.jpg,0.8292414803957494,0.8212065813528336,-0.008034899042915766,2451,figures/cases/road420/both_good__2023_11_05_21_38_IMG_6516.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/road420/predictions/2023_11_05_21_38_IMG_6516.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/road420/predictions/2023_11_05_21_38_IMG_6516.png,/home/codespace/cracksam2-prompts/road420/test_original/2023_11_05_21_38_IMG_6516.jpg.npy,2451,2541,2530
road420,both_weak,Les deux faibles,2023_10_30_17_30_IMG_6167.jpg,0.0,0.00025119316754584274,0.00025119316754584274,3981,figures/cases/road420/both_weak__2023_10_30_17_30_IMG_6167.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/road420/predictions/2023_10_30_17_30_IMG_6167.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/road420/predictions/2023_10_30_17_30_IMG_6167.png,/home/codespace/cracksam2-prompts/road420/test_original/2023_10_30_17_30_IMG_6167.jpg.npy,3981,0,1
road420,median,Cas médian,2023_10_30_16_00_IMG_5928.jpg,0.5695364238410596,0.563352343168857,-0.006184080672202663,3518,figures/cases/road420/median__2023_10_30_16_00_IMG_5928.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/road420/predictions/2023_10_30_16_00_IMG_5928.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/road420/predictions/2023_10_30_16_00_IMG_5928.png,/home/codespace/cracksam2-prompts/road420/test_original/2023_10_30_16_00_IMG_5928.jpg.npy,3518,2881,2787
facade390,gain_frangi,Gain Frangi maximal,DJ_Wall_66.JPG,0.0,0.5394883203559511,0.5394883203559511,1608,figures/cases/facade390/gain_frangi__DJ_Wall_66.JPG.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/facade390/predictions/DJ_Wall_66.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/facade390/predictions/DJ_Wall_66.png,/home/codespace/cracksam2-prompts/facade390/test_original/DJ_Wall_66.JPG.npy,1608,0,1160
facade390,gain_baseline,Gain baseline maximal,DJ_Wall_231.JPG,0.75,0.2936335581209281,-0.4563664418790719,2569,figures/cases/facade390/gain_baseline__DJ_Wall_231.JPG.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/facade390/predictions/DJ_Wall_231.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/facade390/predictions/DJ_Wall_231.png,/home/codespace/cracksam2-prompts/facade390/test_original/DJ_Wall_231.JPG.npy,2569,2422,8749
facade390,both_good,Les deux bons,DJ_Wall_380.JPG,0.8259687287559483,0.8310982855202852,0.005129556764336907,5840,figures/cases/facade390/both_good__DJ_Wall_380.JPG.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/facade390/predictions/DJ_Wall_380.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/facade390/predictions/DJ_Wall_380.png,/home/codespace/cracksam2-prompts/facade390/test_original/DJ_Wall_380.JPG.npy,5840,4904,4947
facade390,both_weak,Les deux faibles,DJ_Wall_343.JPG,0.0,0.0,0.0,2673,figures/cases/facade390/both_weak__DJ_Wall_343.JPG.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/facade390/predictions/DJ_Wall_343.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/facade390/predictions/DJ_Wall_343.png,/home/codespace/cracksam2-prompts/facade390/test_original/DJ_Wall_343.JPG.npy,2673,0,0
facade390,median,Cas médian,DJ_Wall_368.JPG,0.7963224893917963,0.7806879141685075,-0.015634575223288816,2627,figures/cases/facade390/median__DJ_Wall_368.JPG.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/facade390/predictions/DJ_Wall_368.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/facade390/predictions/DJ_Wall_368.png,/home/codespace/cracksam2-prompts/facade390/test_original/DJ_Wall_368.JPG.npy,2627,2453,3016
concrete3k,gain_frangi,Gain Frangi maximal,224_37.jpg,0.0,0.9160935350756534,0.9160935350756534,720,figures/cases/concrete3k/gain_frangi__224_37.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/concrete3k/predictions/224_37.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/concrete3k/predictions/224_37.png,/home/codespace/cracksam2-prompts/concrete3k/test_original/224_37.jpg.npy,720,0,668
concrete3k,gain_baseline,Gain baseline maximal,128_23.jpg,0.8669950738916257,0.0,-0.8669950738916257,397,figures/cases/concrete3k/gain_baseline__128_23.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/concrete3k/predictions/128_23.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/concrete3k/predictions/128_23.png,/home/codespace/cracksam2-prompts/concrete3k/test_original/128_23.jpg.npy,397,372,0
concrete3k,both_good,Les deux bons,184_23.jpg,0.9663279685529926,0.9665117651397802,0.00018379658678757682,13570,figures/cases/concrete3k/both_good__184_23.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/concrete3k/predictions/184_23.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/concrete3k/predictions/184_23.png,/home/codespace/cracksam2-prompts/concrete3k/test_original/184_23.jpg.npy,13570,13241,13389
concrete3k,both_weak,Les deux faibles,026_8.jpg,0.0,0.0,0.0,238,figures/cases/concrete3k/both_weak__026_8.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/concrete3k/predictions/026_8.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/concrete3k/predictions/026_8.png,/home/codespace/cracksam2-prompts/concrete3k/test_original/026_8.jpg.npy,238,0,0
concrete3k,median,Cas médian,064_36.jpg,0.2571334050119924,0.24770490447440244,-0.009428500537589951,48561,figures/cases/concrete3k/median__064_36.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/concrete3k/predictions/064_36.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/concrete3k/predictions/064_36.png,/home/codespace/cracksam2-prompts/concrete3k/test_original/064_36.jpg.npy,48561,12436,11980
concrete3k,sparse_divergent,GT vide/clairsemée divergente,504_2.jpg,1.0,0.0,-1.0,0,figures/cases/concrete3k/sparse_divergent__504_2.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/concrete3k/predictions/504_2.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/concrete3k/predictions/504_2.png,/home/codespace/cracksam2-prompts/concrete3k/test_original/504_2.jpg.npy,0,0,5
